<|showerthought|>If you go to the gym and you’re not doing well, you’re not doing well<|endoftext|> 
<|showerthought|>The fact that we are all living in a world of infinite possibility is the reason for all of the problems that we are experiencing.<|endoftext|> 
<|showerthought|>It’s possible to be a bad actor, but it’s not possible to be a good actor.<|endoftext|> 
<|showerthought|>A lot of people don't know how the world actually works, and they're probably just a bunch of idiots.<|endoftext|> 
<|showerthought|>If your in the middle of the night, you're probably not in the middle of nowhere.<|endoftext|> 
<|showerthought|>If you have a good idea and a bad idea, you can always just make up an idea and then have the good idea come true<|endoftext|> 
<|showerthought|>We don’t have a way to tell if a dog is scared or excited, we just have a way to tell if they are hungry or not.<|endoftext|> 
<|showerthought|>If humans made a flying machine that would have the ability to fly through space, it would probably be called a space-frogger<|endoftext|> 
<|showerthought|>It's better to be an asshole than a saint.<|endoftext|> 
<|showerthought|>People hate on those who don't wear a mask, yet they are the only ones who are allowed to wear a mask.<|endoftext|> 
<|showerthought|>In Harry Potter, the only way to get rid of Voldemort was by killing him. In real life, you can't get rid of a Voldemort.<|endoftext|> 
<|showerthought|>The reason we have to pay taxes is so that we can pay taxes.<|endoftext|> 
<|showerthought|>People who are afraid of heights are probably scared of falling<|endoftext|> 
<|showerthought|>It's a good thing that you have to pay for your own air conditioning.<|endoftext|> 
<|showerthought|>When you're a kid, you're excited for Halloween, when you're an adult, you're excited to celebrate Halloween.<|endoftext|> 
<|showerthought|>People complain about being in a hurry but don't complain about being in a hurry to get somewhere.<|endoftext|> 
<|showerthought|>You’ll be able to tell if someone is a good or bad person by how they act around their pet.<|endoftext|> 
<|showerthought|>The fact that we have to pay a subscription to watch a video is the same as the fact that we have to pay a subscription for a subscription to watch a video.<|endoftext|> 
<|showerthought|>The more a person is in love, the less they care about their own life. The less they care about their life, the more they care.<|endoftext|> 
<|showerthought|>A person on a dating app is probably more likely to be a good match with someone who is not on a dating app than someone on a dating app is.<|endoftext|> 
<|showerthought|>If a tree falls on you, you're not going to be able to see it. But you can see the ground.<|endoftext|> 
<|showerthought|>You never hear about a woman getting a haircut.<|endoftext|> 
<|showerthought|>The most important part of the human body is the brain. It's the brain that makes you feel happy, happy, and sad. It's the brain that determines whether you're going to die or live<|endoftext|> 
<|showerthought|>If someone was born in a different year, then they are technically in a different year.<|endoftext|> 
<|showerthought|>It's a good thing the sun doesn't have an eye.<|endoftext|> 
<|showerthought|>Most humans are born with the ability to fly.<|endoftext|> 
<|showerthought|>People complain about how they have to be careful when they're driving a car, but they're the ones who are the most likely to be killed in a car accident.<|endoftext|> 
<|showerthought|>If you take a picture of a person with a gun, you're basically taking the same picture with their life as they have taken of yours<|endoftext|> 
<|showerthought|>A person can't be in love because they can't be in love with someone<|endoftext|> 
<|showerthought|>If every country had a national anthem then the whole world would be singing about it<|endoftext|> 
<|showerthought|>If you think of the fact that you can’t see your reflection in mirrors, you’re probably thinking of the fact that you’re not seeing yourself in the mirror<|endoftext|> 
<|showerthought|>There's probably a lot of people out there with the same birthday as you.<|endoftext|> 
<|showerthought|>Actors who are good at their job are often portrayed as being bad at it, yet the same actors who are bad at their job are often portrayed as being good actors.<|endoftext|> 
<|showerthought|>There are a lot of people out there that have never seen a movie or TV show with a female lead.<|endoftext|> 
<|showerthought|>It’s possible that the first humans to discover a cure to cancer were the first to be killed by it.<|endoftext|> 
<|showerthought|>The more money a person has, the more they want to spend on things. The more money they have, the more they don’t want to spend on things.<|endoftext|> 
<|showerthought|>We are born with the power to do anything and everything, yet we are afraid of the unknown.<|endoftext|> 
<|showerthought|>The first few years of your life are the most important. The rest are just filler<|endoftext|> 
<|showerthought|>If you think about how much we use our brains, it’s amazing that our brains are so good at remembering things.<|endoftext|> 
<|showerthought|>You could probably get a good job in the military by just doing the work for a living.<|endoftext|> 
<|showerthought|>We need to stop calling it the 'Cinderella of the North', it’s the real Cinderella<|endoftext|> 
<|showerthought|>The only thing worse than being a virgin is having to be one.<|endoftext|> 
<|showerthought|>You don't have to be a genius to understand that the world isn't going to end, it's just going to be a lot more complicated and confusing.<|endoftext|> 
<|showerthought|>The reason why people hate the word “bitchy” is because they think that “bitchy” is the opposite of “bitchy”<|endoftext|> 
<|showerthought|>If you are the only person who knows the truth about something, you have a higher chance of being the one to tell the truth.<|endoftext|> 
<|showerthought|>Dirty clothes is more of a luxury than clean clothes<|endoftext|> 
<|showerthought|>No one is born with a penis.<|endoftext|> 
<|showerthought|>A lot of things we think are weird are actually normal<|endoftext|> 
<|showerthought|>The only thing that makes you feel like a hero is when you're the one who saves the world from a villain<|endoftext|> 
